Total renewable Energy,Solar,Wind Offshore,Wind Onshore
363302.0,2574.0,280264.0,80464.0
263372.0,657.0,212330.0,50385.0
326102.0,381.0,232469.0,93252.0
342224.0,1938.0,263318.0,76968.0
206478.0,1948.0,148106.0,56424.0
206296.875,1938.5625,149757.75,54600.5625
206115.75,1929.125,151409.5,52777.125
205934.625,1919.6875,153061.25,50953.6875
205753.5,1910.25,154713.0,49130.25
205572.375,1900.8125,156364.75,47306.8125
205391.25,1891.375,158016.5,45483.375
205210.125,1881.9375,159668.25,43659.9375
205029.0,1872.5,161320.0,41836.5
94487.0,1166.0,67717.0,25604.0
208699.75,1093.0,149916.5,57690.25
322912.5,1020.0,232116.0,89776.5
386906.0,1007.0,293390.0,92509.0
332088.0,825.0,261938.0,69325.0
277484.0,836.0,215803.0,60845.0
348432.0,874.0,264788.0,82770.0
334733.0,1301.0,258578.0,74854.0
335440.0,1441.0,252852.0,81147.0
220172.0,1418.0,173608.0,45146.0
267376.5,736.5,213918.5,52721.5
193655.0,692.0,156777.0,36186.0
43350.0,1354.0,34498.0,7498.0
279060.0,322.0,216852.0,61886.0
337553.0,1021.0,260446.0,76086.0
320094.0,980.0,260225.0,58889.0
57533.0,1305.0,42976.0,13252.0
26934.0,1650.0,19198.0,6086.0
309023.0,293.0,241897.0,66833.0
390815.0,580.0,290564.0,99671.0
193225.0,1041.0,141574.0,50610.0
158147.0,722.0,134110.0,23315.0
177194.0,835.0,139102.0,37257.0
385987.0,669.0,292065.0,93253.0
382007.0,999.0,288340.0,92668.0
338185.0,833.0,278821.0,58531.0
122786.0,636.0,103033.0,19117.0
225464.0,232.0,179508.0,45724.0
196950.0,589.0,158218.5,38142.5
168436.0,946.0,136929.0,30561.0
33738.0,356.0,32301.0,1081.0
56162.0,789.0,52684.0,2689.0
24117.0,878.0,16382.0,6857.0
242732.0,723.0,200155.0,41854.0
309691.0,135.0,253282.0,56274.0
191463.0,0.0,168150.0,23313.0
108692.0,61.0,95577.0,13054.0
192205.0,733.0,160598.0,30874.0
211442.0,89.0,169032.0,42321.0
383623.0,520.0,292582.0,90521.0
354422.0,306.0,258026.0,96090.0
303714.0,445.0,219725.0,83544.0
144489.0,374.0,120111.0,24004.0
149072.0,290.0,124919.0,23863.0
91854.0,423.0,76964.0,14467.0
145366.0,772.0,109428.0,35166.0
336046.0,216.0,247803.0,88027.0
388006.0,720.0,288312.0,98974.0
386232.0,266.0,288805.0,97161.0
301218.0,224.0,232784.0,68210.0
382060.0,508.0,279741.0,101811.0
371802.0,236.0,263834.0,107732.0
388507.0,372.0,280710.0,107425.0
352434.75,224.46875,256333.46875,95876.8125
369129.0,143.0,267722.0,101264.0
328890.0,506.0,247387.0,80997.0
278453.0,539.0,197847.0,80067.0
282353.0,200.0,216947.0,65206.0
379967.0,426.0,275140.0,104401.0
370242.0,524.0,270577.0,99141.0
351296.0,922.0,266015.0,84359.0
392477.0,358.0,287791.0,104328.0
368700.0,534.0,272239.0,95927.0
307170.0,277.0,223221.0,83672.0
302188.0,591.0,224898.0,76699.0
157277.0,753.0,125555.0,30969.0
253876.0,196.0,210338.0,43342.0
274811.0,257.0,233747.0,40807.0
329504.0,682.0,268304.0,60518.0
363895.0,939.0,291327.0,71629.0
323998.0,1530.0,251021.0,71447.0
218167.0,1497.0,170454.0,46216.0
125002.0,393.0,107945.0,16664.0
121308.0,447.0,107081.0,13780.0
221943.0,422.0,159519.0,62002.0
287893.0,859.0,215361.0,71673.0
385036.0,807.0,295417.0,88812.0
239433.0,322.0,181217.0,57894.0
143524.0,430.0,108680.0,34414.0
132588.0,1099.0,113924.0,17565.0
258534.0,855.0,186046.0,71633.0
359393.0,874.0,262229.0,96290.0
408196.0,392.0,297345.0,110459.0
323099.0,1039.0,218026.0,104034.0
362266.0,1213.0,254030.0,107023.0
301130.0,1130.0,204390.0,95610.0
212077.0,1187.0,156906.0,53984.0
367452.0,733.0,265311.0,101408.0
169800.0,2027.0,118396.0,49377.0
242637.5,2260.5,181692.0,58685.0
179959.0,432.0,138840.0,40687.0
312548.0,164.0,235230.0,77154.0
268594.0,187.0,204683.0,63724.0
